County,ZipCode,Child Well Being Index,"High School, College & Career Readiness",High School Graduation Rate,Students Exceeding 3rd Grade Reading Level,Students Exceeding 8th Grade Math Level,Chilren Without Health Insurance,Low Birth Weights,Children in Poverty,Families Not Financially Stable,Families w/ Housing Cost Burden,Births to Moms w/o High School Diploma,Parents Enrolled in Post Secondary Education,Adults w/o High School Diploma,Adults w/o Health Insurance,Unemployment Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobb,30127,76.2,77.5,83.1,54.6,38.1,5.6,7.7,11.4,16.6,29.2,6.3,77.7,5.8,13.1,11.6,749,1001,720,64,98,121,5.6,14.1,6.6,8.6,9.4,26.3,5.6,31.9,3.1,1800,4400,2112,2716,2960,8312,1748,10060,968,60.9,33.5,1.2,1.0,3.0,4.7,409656,384694,447073,8524,4412,3321,715,90.3,4.3,3.8,1.2,0.4,7326,1522,85.3,14.7,39.3,92.6,31596,10060,69.7,79.5,74.4,Q5: V.High Perf
Cobb,30144,73.4,75.9,81.0,64.4,38.6,14.0,7.5,13.8,20.4,33.3,6.2,81.7,6.3,17.7,10.5,1661,1394,1824,603,481,522,5.8,12.4,3.6,16.8,8.5,21.8,6.7,28.5,10.1,4594,9108,2742,12245,6374,16444,4667,21111,7578,70.1,19.9,5.3,2.8,1.7,8.2,719931,759529,722616,17282,8811,6598,1631,79.8,10.0,7.0,3.1,0.2,13449,3367,65.5,34.5,33.7,90.4,74546,21111,66.0,75.2,75.4,Q4: High Perf
Cobb,30152,80.8,79.8,83.6,60.3,46.8,9.7,7.7,8.2,16.5,26.8,5.9,84.0,4.7,15.2,7.6,534,657,681,239,196,143,6.8,18.1,5.5,7.5,9.0,30.3,2.5,32.8,5.0,1353,3547,1053,1520,1759,5953,482,6435,1038,71.9,16.2,4.6,4.2,3.1,10.8,262222,278413,232765,5630,3399,2613,606,88.7,5.4,2.9,3.0,0.0,4853,1084,84.8,15.2,31.8,89.7,19748,6435,72.5,81.5,82.4,Q4: High Perf
Cobb,30339,73.0,66.3,67.2,54.2,23.7,14.6,8.0,6.5,10.0,32.7,3.8,72.8,3.2,17.6,3.3,123,0,0,18,0,57,4.2,3.0,2.3,13.7,11.0,9.4,4.6,14.0,9.1,634,353,292,2170,1297,1279,659,1938,1511,65.3,22.9,7.3,1.7,2.6,6.9,284953,282334,205034,2906,936,539,315,67.9,11.2,14.6,5.3,1.0,1468,695,37.1,63.0,54.0,90.6,14450,1938,52.8,81.2,79.4,Q4: High Perf
Coweta,30263,65.5,72.3,83.7,48.4,37.6,5.1,6.9,24.2,28.6,32.4,13.7,68.4,15.2,16.3,8.8,2067,2887,2761,561,775,473,6.1,17.1,4.7,6.3,11.9,27.8,2.7,30.5,3.6,2309,6266,1628,2296,4503,10203,991,11194,1305,77.3,18.3,1.1,0.3,2.7,4.5,374800,391990,308810,9865,4943,3267,1327,87.1,6.1,4.4,2.3,0.2,6883,2783,75.9,24.1,44.6,92.3,36781,11194,65.3,67.8,62.7,Q3: Aver Perf
Coweta,30265,69.2,72.5,81.9,51.8,36.6,7.2,7.9,16.8,24.4,30.3,10.5,70.8,11.2,15.9,8.4,2525,2578,3166,881,1141,638,6.5,14.9,4.5,9.1,11.8,25.9,3.5,29.4,5.5,4580,9886,2987,6109,7872,17453,2272,19725,3837,76.7,18.2,1.7,1.3,2.0,7.2,642620,659876,566033,18690,9949,6743,2377,85.3,6.4,5.3,2.5,0.5,14100,4141,74.3,25.7,52.1,94.2,66985,19725,64.2,73.0,68.0,Q4: High Perf
Coweta,30276,72.9,69.6,78.2,48.0,38.7,9.5,6.1,13.2,16.9,29.2,5.2,69.7,11.0,12.4,7.5,217,370,445,102,104,136,8.9,15.0,4.1,6.7,8.7,27.9,2.3,30.2,4.4,975,1644,453,741,957,3072,259,3331,482,85.3,11.5,1.1,0.9,1.4,3.9,129970,136356,73475,3343,1806,1345,350,83.8,6.3,7.1,2.8,0.1,3003,447,81.6,18.4,66.6,92.8,11015,3331,63.8,80.2,70.1,Q4: High Perf
Coweta,30277,75.2,74.2,82.2,57.6,37.1,11.2,5.6,7.7,15.3,28.5,6.9,73.6,7.9,14.2,10.4,303,215,177,81,51,30,5.0,12.1,6.1,8.8,10.2,23.2,5.7,28.9,3.0,617,1497,776,1092,1290,2889,726,3615,366,87.8,6.9,1.9,0.9,2.6,6.6,147194,147791,133993,3486,1629,1369,209,91.9,4.0,1.8,2.3,0.2,3133,813,89.6,10.4,59.8,90.3,12536,3615,69.6,80.2,71.0,Q5: V.High Perf
#REF!,30002,40.5,63.9,74.5,21.2,28.1,8.6,14.2,65.7,58.6,37.8,17.7,76.5,10.2,33.6,23.2,849,1078,882,187,324,263,11.5,18.6,4.0,5.3,6.8,34.1,-1.9,32.2,7.2,420,680,146,194,248,1246,-68,1178,262,4.5,75.4,4.4,2.5,1.6,5.1,31423,50385,23529,826,498,115,383,76.9,7.5,4.4,7.4,3.8,404,166,42.8,57.2,32.6,86.1,3654,1178,29.7,49.8,48.0,#REF!
DeKalb,30021,25.3,56.1,56.0,20.9,12.3,16.8,8.7,48.7,57.7,48.2,33.5,69.7,26.3,42.2,20.3,581,788,798,194,248,266,9.6,16.0,4.4,10.6,6.9,29.9,1.8,31.7,8.7,451,774,190,487,314,1415,93,1508,395,5.9,60.4,23.2,1.0,1.0,1.8,34597,50365,33656,1056,692,400,258,72.7,14.1,3.3,2.3,7.6,356,131,34.7,65.3,52.2,83.0,4674,1508,24.2,33.0,30.7,#REF!
Dekalb,30032,28.0,51.9,56.7,16.2,5.5,9.4,12.5,40.9,52.9,47.8,22.2,66.6,21.7,34.4,24.6,296,233,260,84,90,91,5.7,10.0,2.5,10.4,13.7,18.2,5.4,23.6,5.0,184,329,81,334,432,595,167,761,167,3.3,90.4,0.1,1.3,1.3,2.3,34095,47901,32580,608,278,83,161,76.4,15.1,7.0,1.5,0.0,350,182,56.2,43.8,55.9,73.5,22415,5329,20.0,41.9,31.7,Q1: V.Low Perf
DeKalb,30033,70.5,68.7,77.2,54.9,32.7,6.6,7.5,23.3,21.7,38.5,6.3,80.1,5.9,15.0,8.8,1136,1735,1549,412,554,429,5.0,8.7,2.5,9.3,14.3,16.2,1.9,18.2,7.4,2734,4874,1372,4935,7538,8981,932,9913,4003,6.6,12.6,10.9,2.3,4.1,6.6,640667,726672,367106,11244,4862,3248,1449,79.7,8.8,5.7,4.6,1.2,8725,3620,49.2,50.8,47.7,83.7,82845,15726,60.2,70.9,77.8,Q4: High Perf
DeKalb,30034,48.3,59.8,64.3,24.6,13.6,12.4,12.6,25.2,35.1,43.2,11.5,76.4,8.7,21.5,20.6,392,499,402,123,113,105,5.4,13.1,4.8,10.6,11.8,23.4,5.0,28.3,5.6,313,691,259,547,604,1263,268,1531,280,2.6,93.6,0.1,0.1,3.0,1.0,48063,42457,48024,1233,630,250,347,82.7,6.2,6.5,4.7,0.0,1048,173,65.8,34.2,55.0,87.9,37242,10716,30.9,59.1,57.7,Q2: Low Perf
DeKalb,30035,37.7,57.6,57.3,20.8,6.4,14.8,13.9,31.0,38.2,45.9,17.1,67.6,15.0,28.1,18.4,2280,2542,2988,772,954,1125,7.5,14.5,2.9,10.1,10.8,24.9,3.6,28.5,6.5,2307,4444,883,3193,3527,7633,1382,9015,1811,3.7,90.5,0.9,0.6,1.8,2.7,287242,245892,293105,7172,3623,1329,1933,82.1,11.3,4.2,2.0,0.5,4923,1573,59.6,40.4,53.8,81.0,53672,15394,20.8,52.2,46.4,Q1: V.Low Perf
DeKalb,30038,49.3,60.8,65.6,23.3,7.9,15.1,12.3,17.1,29.1,50.1,8.8,77.7,6.6,27.2,16.7,2172,1883,2323,561,665,783,6.4,13.1,5.8,10.1,6.8,25.3,5.3,30.7,4.7,2588,4768,1930,3596,2304,9287,1695,10982,1901,0.9,95.8,0.4,0.4,1.4,0.8,206706,128867,207835,9178,5247,1849,2977,81.0,12.3,3.8,2.4,0.6,6858,971,60.8,39.3,52.3,87.2,34910,10982,31.1,58.2,61.4,Q3: Aver Perf
DeKalb,30058,48.8,61.3,68.2,22.7,19.0,9.3,12.0,24.4,36.1,44.7,10.6,70.2,9.3,25.1,17.3,3657,4017,4003,980,956,1026,6.5,17.1,5.9,9.8,6.3,29.5,3.7,33.1,6.1,3582,9102,3301,5164,3423,15985,2027,18012,3137,2.7,90.3,0.9,2.8,2.1,3.6,402099,270101,407585,12387,7614,3205,3759,87.9,5.8,2.9,3.3,0.0,10543,1558,69.6,30.4,52.8,88.6,54219,18012,36.3,58.2,54.9,Q1: V.Low Perf
DeKalb,30083,44.7,55.9,61.7,30.0,20.4,11.3,11.0,35.2,42.4,45.1,13.4,74.7,8.7,32.1,18.9,2821,3490,3691,985,1402,1210,8.1,12.9,2.9,9.9,9.7,23.9,4.2,28.1,5.7,3463,5781,1368,4030,4366,10612,1643,12255,2387,5.4,68.1,3.8,1.3,2.0,4.9,427328,485135,386516,10011,5198,2250,2339,75.1,14.7,7.1,2.6,0.6,6852,2008,52.3,47.7,46.1,79.9,43393,12255,31.8,53.7,53.2,Q3: Aver Perf
DeKalb,30084,64.1,67.3,73.0,53.3,29.2,9.3,5.9,27.7,29.4,32.0,16.9,84.2,9.3,21.6,14.3,219,736,763,19,30,87,4.3,15.6,5.0,6.1,17.2,24.9,-0.2,24.7,6.3,471,1673,531,659,1769,2674,-38,2636,698,5.4,20.7,7.6,3.3,3.0,11.9,172259,198315,27978,2593,1241,875,366,85.2,6.5,4.3,3.1,1.0,1529,1113,67.4,32.6,49.5,85.2,10641,2636,57.2,65.7,69.0,Q5: V.High Perf
DeKalb,30088,47.8,58.5,66.5,22.8,11.6,9.4,12.8,21.5,33.6,43.7,11.4,73.3,8.6,24.8,20.3,3695,4255,4393,788,1170,1313,5.8,14.1,5.5,9.6,7.8,25.4,4.6,30.0,5.0,3414,8230,3164,5519,4504,14809,2591,17400,2928,3.4,88.4,1.7,0.8,1.4,3.3,502960,412258,502114,14057,7477,3047,3760,83.9,10.4,3.4,2.2,0.1,12098,1978,66.9,33.1,53.9,83.8,57769,17400,32.4,59.3,54.5,Q2: Low Perf
DeKalb,30294,57.5,62.0,69.2,23.6,5.7,6.9,12.9,23.3,24.8,39.1,7.7,75.1,8.9,14.4,12.3,456,494,863,65,61,126,6.2,13.8,7.5,9.9,5.4,27.4,4.4,31.7,5.5,823,1924,983,1405,845,3729,681,4410,724,1.3,96.0,0.0,0.1,2.7,1.9,114271,140685,115283,3375,2111,1064,779,95.1,2.2,1.9,0.9,0.0,3375,455,83.0,17.1,58.0,86.3,14007,4410,34.4,68.5,69.1,Q3: Aver Perf
